icd_1,icd_2,ji
H36,I63,0.060810810810810814
H36,I64,0.06493506493506493
H36,I70,0.12643678160919541
H36,I81,0.015037593984962405
H36,J18,0.06334841628959276
H36,J43,0.04487179487179487
H36,J44,0.056
H36,J45,0.031630170316301706
H36,J63,0.022727272727272728
H36,J80,0.033783783783783786
H36,J81,0.027972027972027972
H36,K13,0.056338028169014086
H36,K44,0.05263157894736842
H36,K50,0.04411764705882353
H36,K52,0.02877697841726619
H36,K70,0.07142857142857142
H36,K73,0.03636363636363636
H36,K76,0.07291666666666667
H36,K82,0.037383177570093455
H36,K92,0.02976190476190476
H36,L10,0.03597122302158273
H36,L13,0.022727272727272728
H36,L23,0.028169014084507043
H36,L52,0.022727272727272728
H36,L70,0.030303030303030304
H36,M06,0.03597122302158273
H36,M10,0.03
H36,M30,0.039735099337748346
H36,M31,0.037267080745341616
H36,M33,0.03225806451612903
H36,M35,0.06763285024154589
H36,M65,0.02127659574468085
H36,M87,0.025974025974025976
H36,N02,0.03508771929824561
H36,N03,0.021739130434782608
H36,N08,0.08743169398907104
H36,N17,0.12883435582822086
H36,N18,0.07881773399014778
H46,E06,0.08823529411764706
H46,A17,0.1111111111111111
H46,I00,0.18181818181818182
H46,I09,0.10526315789473684
H46,J84,0.043478260869565216
H46,K75,0.125
H46,L10,0.15789473684210525
H46,L12,0.13333333333333333
H46,L51,0.046875
H46,L80,0.03125
H46,M81,0.02830188679245283
I00,A16,0.5
