,Trajectory,Disease list,Drug,FDR,Disease Consensus Name List
158,3,"['H73', 'K92']",Ixazomib,0.015571551,"['disorders of tympanic membrane', 'diseases of digestive system']"
159,3,"['H73', 'K92']",Rose bengal,0.006329798,"['disorders of tympanic membrane', 'diseases of digestive system']"
160,3,"['H73', 'K92']",Asunaprevir,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']"
161,3,"['H73', 'K92']",Rupatadine,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']"
162,3,"['H73', 'K92']",Curcumin,0.001591521,"['disorders of tympanic membrane', 'diseases of digestive system']"
163,3,"['H73', 'K92']",Diacerein,0.01925776,"['disorders of tympanic membrane', 'diseases of digestive system']"
164,3,"['H73', 'K92']",Letermovir,0.003539954,"['disorders of tympanic membrane', 'diseases of digestive system']"
165,3,"['H73', 'K92']",Cimicifuga racemosa,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']"
166,4,"['A41', 'C91', 'N10']",Caffeine,0.000938891,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']"
167,4,"['A41', 'C91', 'N10']",Sorafenib,0.00163369,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']"
168,4,"['A41', 'C91', 'N10']",Trimethoprim,0.02337599,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']"
169,4,"['A41', 'C91', 'N10']",Methotrexate,0.0314753,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']"
170,4,"['A41', 'C91', 'N10']",Imatinib,0.017940175,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']"
171,4,"['A41', 'C91', 'N10']",Dasatinib,7.158532482747722e-06,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']"
172,4,"['A41', 'C91', 'N10']",Sunitinib,0.006290002,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']"
173,4,"['A41', 'C91', 'N10']",Nilotinib,0.002357317,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']"
174,4,"['A41', 'C91', 'N10']",Bosutinib,0.003712229,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']"
175,4,"['A41', 'C91', 'N10']",Regorafenib,0.001852646,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']"
176,4,"['A41', 'C91', 'N10']",Ponatinib,8.22345502112547e-07,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']"
