,Trajectory,Drug,Disease list,Disease Consensus Name List,PubMed count,PubMed count avg
745,201,Icotinib,"['M35', 'I10', 'I11', 'I15', 'I27', 'I35', 'I44', 'I51', 'I74', 'I77', 'J15', 'L30', 'M13']","['systemic involvement of connective tissue', 'essential (primary) hypertension', 'hypertensive heart disease', 'secondary hypertension', 'pulmonary heart diseases', 'nonrheumatic aortic valve disorders', 'atrioventricular and left bundle-branch block', 'complications and ill-defined descriptions of heart disease', 'arterial embolism and thrombosis', 'disorders of arteries and arterioles', 'bacterial pneumonia', 'dermatitis', 'arthritis']","[0, 0, 0, 2, 0, 0, 0, 31, 0, 4, 0, 4, 0]",3.1538461538461537
746,156,Flutamide,"['E21', 'N18', 'N19', 'I15', 'N17']","['hyperparathyroidism and disorders of parathyroid gland', 'chronic renal failure', 'renal failure', 'secondary hypertension', 'acute renal failure']","[1, 1, 11, 2, 9]",4.8
747,133,Clomifene,"['I47', 'I49']","['paroxysmal tachycardia', 'cardiac arrhythmias']","[0, 3]",1.5
748,181,Remifentanil,"['E66', 'I89', 'K42', 'K43', 'M16', 'E65']","['obesity', 'non-infective disorders of lymphatic vessels and lymph nodes', 'umbilical hernia', 'ventral hernia', 'coxarthrosis [arthrosis of hip]', 'localised adiposity']","[131, 4, 2, 3, 1, 0]",23.5
749,202,Minocycline,"['I21', 'I25', 'I42', 'I50', 'I20']","['acute myocardial infarction', 'chronic ischaemic heart disease', 'cardiomyopathy', 'heart failure', 'angina pectoris']","[7, 7, 35, 36, 2]",17.4
750,120,Bethanidine,"['F31', 'F10', 'K70']","['bipolar affective disorder', 'mental and behavioural disorders due to use of alcohol', 'alcoholic liver disease']","[0, 0]",0.0
751,279,Ceftriaxone,"['F06', 'F48', 'F32', 'F40', 'F44', 'D16', 'F11', 'F22', 'F51', 'J00', 'J37', 'L28', 'N89']","['mental disorders due to brain damage and dysfunction and to physical disease', 'neurotic disorders', 'depressive episode', 'phobic anxiety disorders', 'dissociative [conversion] disorders', 'benign neoplasm of bone and articular cartilage', 'mental and behavioural disorders due to use of opioids', 'persistent delusional disorders', 'sleep disorders', 'acute nasopharyngitis [common cold]', 'chronic laryngitis and laryngotracheitis', 'lichen simplex chronicus and prurigo', 'noninflammatory disorders of vagina']","[910, 0, 3, 0, 0, 35, 16, 0, 8, 12, 3, 0, 0]",75.92307692307692
752,167,Sibutramine,"['C53', 'D06', 'C54', 'C55', 'N87']","['malignant neoplasm of cervix uteri', 'carcinoma in situ of cervix uteri', 'malignant neoplasm of corpus uteri', 'malignant neoplasm of uterus, part', 'dysplasia of cervix uteri']","[0, 0, 0, 0, 0]",0.0
753,148_222,Chloroprocaine,"['K80', 'K81', 'K82', 'K83']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'diseases of biliary tract']","[0, 0, 0, 0]",0.0
754,149_404,Paritaprevir,"['K85', 'K86']","['acute pancreatitis', 'diseases of pancreas']","[0, 0]",0.0
755,428,Phendimetrazine,"['F03', 'F13', 'F20', 'F22', 'G31']","['dementia', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'schizophrenia', 'persistent delusional disorders', 'degenerative diseases of nervous system']","[0, 4, 0, 0, 0]",0.8
756,65_103,Natalizumab,"['B18', 'F10', 'F11', 'F12', 'F13', 'F14', 'F19']","['chronic viral hepatitis', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']","[1, 4, 0, 1, 0, 0, 52]",8.285714285714286
757,78,Fenoprofen,"['F32', 'F42', 'I95']","['depressive episode', 'obsessive-compulsive disorder', 'hypotension']","[0, 0, 16]",5.333333333333333
758,325,Imidafenacin,"['E10', 'E13', 'E14', 'E11', 'G63', 'L03', 'N08', 'A04', 'E16', 'F01', 'G51', 'I79', 'L89', 'L98', 'M86']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'diabetes mellitus', 'non-insulin-dependent diabetes mellitus', 'polyneuropathy in diseases classified elsewhere', 'cellulitis', 'glomerular disorders in diseases classified elsewhere', 'bacterial intestinal infections', 'disorders of pancreatic internal secretion', 'vascular dementia', 'facial nerve disorders', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere', 'decubitus ulcer', 'disorders of skin and subcutaneous tissue', 'osteomyelitis']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.13333333333333333
759,333,Everolimus,"['C53', 'C54', 'C55', 'N95']","['malignant neoplasm of cervix uteri', 'malignant neoplasm of corpus uteri', 'malignant neoplasm of uterus, part', 'menopausal and perimenopausal disorders']","[0, 1, 1, 91]",23.25
760,120,Venetoclax,"['F31', 'F10', 'K70']","['bipolar affective disorder', 'mental and behavioural disorders due to use of alcohol', 'alcoholic liver disease']","[0, 0, 1]",0.3333333333333333
761,65_103,Piperaquine,"['B18', 'F10', 'F11', 'F12', 'F13', 'F14', 'F19']","['chronic viral hepatitis', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']","[1, 0, 0, 0, 1, 0, 0]",0.2857142857142857
762,65_103,"Synthetic Conjugated Estrogens, A","['B18', 'F10', 'F11', 'F12', 'F13', 'F14', 'F19']","['chronic viral hepatitis', 'mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to use of opioids', 'mental and behavioural disorders due to use of cannabinoids', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances']","[0, 0, 0, 0, 0, 0, 0]",0.0
763,433,Bioallethrin,"['I21', 'I46']","['acute myocardial infarction', 'cardiac arrest']","[0, 0]",0.0
764,93,Oxcarbazepine,"['K66', 'N73', 'N76', 'N80', 'N94']","['disorders of peritoneum', 'female pelvic inflammatory diseases', 'inflammation of vagina and vulva', 'endometriosis', 'pain and conditions associated with female genital organs and menstrual cycle']","[0, 0, 0, 0]",0.0
765,61,Lithium,"['N12', 'N30', 'N39', 'N73', 'N76']","['tubulo-interstitial nephritis', 'cystitis', 'disorders of urinary system', 'female pelvic inflammatory diseases', 'inflammation of vagina and vulva']","[62, 3, 81, 2, 1]",29.8
766,122,Glatiramer,"['F17', 'J20', 'J44', 'J43', 'J96']","['mental and behavioural disorders due to use of tobacco', 'acute bronchitis', 'chronic obstructive pulmonary disease', 'emphysema', 'respiratory failure']","[0, 0, 0, 0, 2]",0.4
767,438,Thrombomodulin Alfa,"['K85', 'K86', 'C23', 'K80', 'K81', 'K82']","['acute pancreatitis', 'diseases of pancreas', 'malignant neoplasm of gallbladder', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']","[1, 2, 0, 0, 0, 0]",0.5
768,14,Desipramine,"['E10', 'E16', 'E87']","['insulin-dependent diabetes mellitus', 'disorders of pancreatic internal secretion', 'disorders of fluid, electrolyte and acid-base balance']","[1, 0, 0]",0.3333333333333333
769,352,Lisdexamfetamine,"['K50', 'A02', 'B34', 'D52', 'D53', 'E07', 'E46', 'E72', 'F09', 'G60', 'G70', 'G83', 'G90', 'H49', 'H61', 'I10', 'I30', 'I99', 'J02', 'J04', 'J11', 'J30', 'J41', 'K20', 'K27', 'K30', 'K46', 'K73', 'K75', 'L08', 'L28', 'L29', 'L50', 'L82', 'L85', 'M00', 'M34', 'M40', 'M46', 'N12']","[""crohn's disease [regional enteritis]"", 'salmonella infections', 'viral infection of site', 'folate deficiency anaemia', 'nutritional anaemias', 'disorders of thyroid', 'protein-energy malnutrition', 'disorders of amino-acid metabolism', 'organic or symptomatic mental disorder', 'hereditary and idiopathic neuropathy', 'myasthenia gravis and myoneural disorders', 'paralytic syndromes', 'disorders of autonomic nervous system', 'paralytic strabismus', 'disorders of external ear', 'essential (primary) hypertension', 'acute pericarditis', 'disorders of circulatory system', 'acute pharyngitis', 'acute laryngitis and tracheitis', 'influenza virus', 'vasomotor and allergic rhinitis', 'simple and mucopurulent chronic bronchitis', 'oesophagitis', 'acute with perforation', 'dyspepsia', 'abdominal hernia', 'chronic hepatitis', 'inflammatory liver diseases', 'local infections of skin and subcutaneous tissue', 'lichen simplex chronicus and prurigo', 'pruritus', 'urticaria', 'seborrhoeic keratosis', 'epidermal thickening', 'pyogenic arthritis', 'systemic sclerosis', 'kyphosis and lordosis', 'inflammatory spondylopathies', 'tubulo-interstitial nephritis']","[0, 0, 0, 0, 0, 1, 0, 5, 14, 1, 3, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1.2702702702702702
770,376,Anileridine,"['G21', 'F02', 'G20']","['secondary parkinsonism', 'dementia in diseases classified elsewhere', ""parkinson's disease""]","[0, 0, 0]",0.0
771,278,Flavoxate,"['F10', 'F19', 'D52', 'G93', 'I46', 'K26', 'M80']","['mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'folate deficiency anaemia', 'disorders of brain', 'cardiac arrest', 'duodenal ulcer', 'osteoporosis with pathological fracture']","[0, 0, 0, 1, 0, 0, 0]",0.14285714285714285
772,359,Insulin Detemir,"['D61', 'D69', 'D70', 'D46']","['aplastic anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis', 'myelodysplastic syndromes']","[0, 82, 0, 1]",20.75
773,350,Bioallethrin,"['C38', 'C78', 'C79', 'C80', 'D61', 'D63', 'D70', 'M84', 'C23', 'D48']","['malignant neoplasm of heart, mediastinum and pleura', 'secondary malignant neoplasm of respiratory and digestive organs', 'secondary malignant neoplasm of specified sites', 'malignant neoplasm', 'aplastic anaemias', 'anaemia in chronic diseases classified elsewhere', 'agranulocytosis', 'disorders of continuity of bone', 'malignant neoplasm of gallbladder', 'neoplasm of uncertain or unknown behaviour of sites']","[0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",0.2
774,128,Tubocurarine,"['E66', 'G47', 'K42', 'K43', 'E65']","['obesity', 'sleep disorders', 'umbilical hernia', 'ventral hernia', 'localised adiposity']","[3, 1, 0, 0, 1]",1.0
775,316,NADH,"['K59', 'L90']","['functional intestinal disorders', 'atrophic disorders of skin']","[758, 7]",382.5
776,372,Voxilaprevir,"['F32', 'F48', 'F19', 'F22', 'F40', 'F44', 'F51', 'L29', 'L82']","['depressive episode', 'neurotic disorders', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'persistent delusional disorders', 'phobic anxiety disorders', 'dissociative [conversion] disorders', 'sleep disorders', 'pruritus', 'seborrhoeic keratosis']","[0, 0, 1, 0, 0, 0, 0, 1, 0]",0.2222222222222222
777,382,"Synthetic Conjugated Estrogens, A","['G93', 'I46']","['disorders of brain', 'cardiac arrest']","[0, 0]",0.0
778,34,Digoxin,"['A02', 'A16', 'A38', 'A68', 'A69', 'B07', 'B35', 'C74', 'D10', 'D57', 'D59', 'D61', 'D70', 'D80', 'E30', 'F95', 'G03', 'G04', 'G47', 'G71', 'H04', 'H05', 'H10', 'H35', 'H49', 'H51', 'H60', 'H69', 'H73', 'I78', 'J02', 'J12', 'J13', 'J39', 'J40', 'J42', 'J46', 'K00', 'K10', 'K12', 'K13', 'K14', 'K40', 'K42', 'K43', 'L03', 'L95', 'M02', 'M12', 'M13', 'M60', 'N04', 'N11', 'N32', 'N35']","['salmonella infections', 'respiratory tuberculosis', 'scarlet fever', 'relapsing fevers', 'spirochaetal infections', 'viral warts', 'dermatophytosis', 'malignant neoplasm of adrenal gland', 'benign neoplasm of mouth and pharynx', 'sickle-cell disorders', 'acquired haemolytic anaemia', 'aplastic anaemias', 'agranulocytosis', 'immunodeficiency with antibody defects', 'disorders of puberty', 'tic disorders', 'meningitis due to specified causes', 'encephalitis, myelitis and encephalomyelitis', 'sleep disorders', 'primary disorders of muscles', 'disorders of lachrymal system', 'disorders of orbit', 'conjunctivitis', 'retinal disorders', 'paralytic strabismus', 'disorders of binocular movement', 'otitis externa', 'disorders of eustachian tube', 'disorders of tympanic membrane', 'diseases of capillaries', 'acute pharyngitis', 'viral pneumonia', 'pneumonia due to streptococcus pneumoniae', 'diseases of upper respiratory tract', 'bronchitis', 'chronic bronchitis', 'status asthmaticus', 'disorders of tooth development and eruption', 'diseases of jaws', 'stomatitis and related lesions', 'diseases of lip and oral mucosa', 'diseases of tongue', 'inguinal hernia', 'umbilical hernia', 'ventral hernia', 'cellulitis', 'vasculitis limited to skin', 'reactive arthropathies', 'specific arthropathies', 'arthritis', 'myositis', 'nephrotic syndrome', 'chronic tubulo-interstitial nephritis', 'disorders of bladder', 'urethral stricture']","[4, 12, 0, 3, 18, 2, 8, 15, 3, 0, 3, 2, 0, 2, 1, 0, 8, 27, 13, 0, 8, 4, 37, 0, 0, 0, 0, 0, 32, 2, 26, 5, 4, 27, 14, 0, 12, 2, 20, 81, 1, 0, 0, 0, 4, 1, 2, 12, 69, 9, 13, 0, 2, 0]",9.407407407407407
779,430,Aflibercept,"['G40', 'G41', 'G81']","['epilepsy', 'status epilepticus', 'hemiplegia']","[1, 0, 0]",0.3333333333333333
780,193,Fospropofol,"['M51', 'M43', 'M48', 'G54', 'G57', 'M40', 'M54', 'M96']","['intervertebral disk disorders', 'deforming dorsopathies', 'spondylopathies', 'nerve root and plexus disorders', 'mononeuropathies of lower limb', 'kyphosis and lordosis', 'dorsalgia', 'postprocedural musculoskeletal disorders']","[0, 0, 0, 0, 0, 0, 0]",0.0
781,372,Novobiocin,"['F32', 'F48', 'F19', 'F22', 'F40', 'F44', 'F51', 'L29', 'L82']","['depressive episode', 'neurotic disorders', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'persistent delusional disorders', 'phobic anxiety disorders', 'dissociative [conversion] disorders', 'sleep disorders', 'pruritus', 'seborrhoeic keratosis']","[0, 0, 1, 0, 0, 1, 1, 0]",0.375
782,18,Nitrous acid,"['F84', 'G40', 'G41', 'G81', 'G91']","['pervasive developmental disorders', 'epilepsy', 'status epilepticus', 'hemiplegia', 'hydrocephalus']","[14, 46, 12, 2, 7]",16.2
783,115,Tolazoline,"['D50', 'D64', 'E03', 'K51', 'E06']","['iron deficiency anaemia', 'anaemias', 'hypothyroidism', 'ulcerative colitis', 'thyroiditis']","[0, 7, 0, 1, 4]",2.4
784,433,Phenobarbital,"['I21', 'I46']","['acute myocardial infarction', 'cardiac arrest']","[8, 32]",20.0
785,279,Mexiletine,"['F06', 'F48', 'F32', 'F40', 'F44', 'D16', 'F11', 'F22', 'F51', 'J00', 'J37', 'L28', 'N89']","['mental disorders due to brain damage and dysfunction and to physical disease', 'neurotic disorders', 'depressive episode', 'phobic anxiety disorders', 'dissociative [conversion] disorders', 'benign neoplasm of bone and articular cartilage', 'mental and behavioural disorders due to use of opioids', 'persistent delusional disorders', 'sleep disorders', 'acute nasopharyngitis [common cold]', 'chronic laryngitis and laryngotracheitis', 'lichen simplex chronicus and prurigo', 'noninflammatory disorders of vagina']","[522, 0, 1, 0, 0, 3, 0, 0, 5, 4, 0, 0, 0]",41.15384615384615
786,227,Macitentan,"['M16', 'M87']","['coxarthrosis [arthrosis of hip]', 'osteonecrosis']","[0, 0]",0.0
787,262,Atosiban,"['D13', 'K80', 'K81', 'K82']","['benign neoplasm of ill-defined parts of digestive system', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']","[0, 0, 0, 0]",0.0
788,223,Tolvaptan,"['K83', 'C25']","['diseases of biliary tract', 'malignant neoplasm of pancreas']","[1, 2]",1.5
789,373_389,Fish oil,"['H90', 'H91', 'H93']","['conductive and sensorineural hearing loss', 'hearing loss', 'disorders of ear']","[7522, 17, 44]",2527.6666666666665
790,12,Zonisamide,"['D64', 'D69', 'D70']","['anaemias', 'purpura and haemorrhagic conditions', 'agranulocytosis']","[14, 53, 3]",23.333333333333332
791,178_290,Aminophenazone,"['H25', 'H26', 'H33', 'H35']","['senile cataract', 'cataract', 'retinal detachments and breaks', 'retinal disorders']","[0, 3, 8, 1]",3.0
792,364,Amcinonide,"['E14', 'E16', 'I79', 'L03', 'M86', 'N08']","['diabetes mellitus', 'disorders of pancreatic internal secretion', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere', 'cellulitis', 'osteomyelitis', 'glomerular disorders in diseases classified elsewhere']","[0, 0, 0, 0, 0, 0]",0.0
793,239,Miconazole,"['E21', 'N18', 'N19', 'N17']","['hyperparathyroidism and disorders of parathyroid gland', 'chronic renal failure', 'renal failure', 'acute renal failure']","[0, 6, 12, 5]",5.75
794,411,Trilostane,"['G95', 'M41', 'M42', 'M43', 'M48', 'M62', 'G54', 'M47', 'M51', 'M54', 'M93', 'M96']","['diseases of spinal cord', 'scoliosis', 'spinal osteochondrosis', 'deforming dorsopathies', 'spondylopathies', 'disorders of muscle', 'nerve root and plexus disorders', 'spondylosis', 'intervertebral disk disorders', 'dorsalgia', 'osteochondropathies', 'postprocedural musculoskeletal disorders']","[1, 0, 0, 0, 2, 2, 1, 0, 0, 0, 0, 0]",0.5
795,231,Prasterone,"['M71', 'M93']","['bursopathies', 'osteochondropathies']","[0, 0]",0.0
796,364,Arformoterol,"['E14', 'E16', 'I79', 'L03', 'M86', 'N08']","['diabetes mellitus', 'disorders of pancreatic internal secretion', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere', 'cellulitis', 'osteomyelitis', 'glomerular disorders in diseases classified elsewhere']","[7, 2, 0, 0, 0, 0]",1.5
797,148_222,Chloroquine,"['K80', 'K81', 'K82', 'K83']","['cholelithiasis', 'cholecystitis', 'diseases of gallbladder', 'diseases of biliary tract']","[3, 8, 5, 10]",6.5
798,441,Nimodipine,"['M19', 'M20', 'M77']","['arthrosis', 'acquired deformities of fingers and toes', 'enthesopathies']",[7],7.0
799,121,Danazol,"['F14', 'F11']","['mental and behavioural disorders due to use of cocaine', 'mental and behavioural disorders due to use of opioids']","[0, 0]",0.0
800,208,Benzatropine,"['E78', 'E79', 'G45', 'I20', 'I21', 'I44', 'I51', 'M41']","['disorders of lipoprotein metabolism and lipidaemias', 'disorders of purine and pyrimidine metabolism', 'transient cerebral ischaemic attacks and related syndromes', 'angina pectoris', 'acute myocardial infarction', 'atrioventricular and left bundle-branch block', 'complications and ill-defined descriptions of heart disease', 'scoliosis']","[1, 13, 20, 0, 106, 0]",23.333333333333332
801,51,Ribociclib,"['I10', 'N18']","['essential (primary) hypertension', 'chronic renal failure']","[0, 2]",1.0
802,49,Alfuzosin,"['J96', 'G40', 'G41']","['respiratory failure', 'epilepsy', 'status epilepticus']","[0, 0, 0]",0.0
803,126,Amcinonide,"['G40', 'G93', 'G41']","['epilepsy', 'disorders of brain', 'status epilepticus']","[0, 0]",0.0
804,120,"Antihemophilic factor, human recombinant","['F31', 'F10', 'K70']","['bipolar affective disorder', 'mental and behavioural disorders due to use of alcohol', 'alcoholic liver disease']","[0, 0, 0]",0.0
805,193,Albendazole,"['M51', 'M43', 'M48', 'G54', 'G57', 'M40', 'M54', 'M96']","['intervertebral disk disorders', 'deforming dorsopathies', 'spondylopathies', 'nerve root and plexus disorders', 'mononeuropathies of lower limb', 'kyphosis and lordosis', 'dorsalgia', 'postprocedural musculoskeletal disorders']","[0, 128, 5, 0, 1, 67, 0]",28.714285714285715
806,324,Bumetanide,"['N00', 'D46', 'E53', 'F05', 'G31', 'H49', 'I10', 'I12', 'I13', 'I62', 'I99', 'J02', 'J04', 'J30', 'J41', 'J42', 'J69', 'K20', 'K73', 'K75', 'L29', 'M10', 'M40', 'M46', 'N10', 'D26', 'E24', 'L73']","['acute nephritic syndrome', 'myelodysplastic syndromes', 'deficiency of b group vitamins', 'delirium', 'degenerative diseases of nervous system', 'paralytic strabismus', 'essential (primary) hypertension', 'hypertensive renal disease', 'hypertensive heart and renal disease', 'nontraumatic intracranial haemorrhage', 'disorders of circulatory system', 'acute pharyngitis', 'acute laryngitis and tracheitis', 'vasomotor and allergic rhinitis', 'simple and mucopurulent chronic bronchitis', 'chronic bronchitis', 'pneumonitis due to solids and liquids', 'oesophagitis', 'chronic hepatitis', 'inflammatory liver diseases', 'pruritus', 'gout', 'kyphosis and lordosis', 'inflammatory spondylopathies', 'acute tubulo-interstitial nephritis', 'benign neoplasms of uterus', ""cushing's syndrome"", 'follicular disorders']","[0, 0, 2, 0, 0, 5, 0, 238, 0, 32, 1, 5, 0, 1, 126, 8, 1, 2, 1, 5, 0, 0, 0, 0, 0, 1]",16.46153846153846
807,39,Cytisine,"['E10', 'E16', 'E06', 'E14']","['insulin-dependent diabetes mellitus', 'disorders of pancreatic internal secretion', 'thyroiditis', 'diabetes mellitus']","[1, 0, 0, 6]",1.75
808,210,Aldesleukin,"['I67', 'I72']","['cerebrovascular diseases', 'aneurysm']","[0, 0]",0.0
809,69,Fludeoxyglucose F-18,"['K66', 'N73', 'N80', 'N94']","['disorders of peritoneum', 'female pelvic inflammatory diseases', 'endometriosis', 'pain and conditions associated with female genital organs and menstrual cycle']","[63, 18, 21, 45]",36.75
810,327,Calcium Citrate,"['N35', 'N39', 'N76', 'G83', 'N30']","['urethral stricture', 'disorders of urinary system', 'inflammation of vagina and vulva', 'paralytic syndromes', 'cystitis']","[0, 39, 3, 2]",11.0
811,167,Canakinumab,"['C53', 'D06', 'C54', 'C55', 'N87']","['malignant neoplasm of cervix uteri', 'carcinoma in situ of cervix uteri', 'malignant neoplasm of corpus uteri', 'malignant neoplasm of uterus, part', 'dysplasia of cervix uteri']","[0, 0, 0, 0, 0]",0.0
812,184,Vitamin E,"['F48', 'G25', 'G47']","['neurotic disorders', 'extrapyramidal and movement disorders', 'sleep disorders']","[428, 75]",251.5
813,40,Cisapride,"['E66', 'E78', 'F17', 'I10', 'K76', 'K80']","['obesity', 'disorders of lipoprotein metabolism and lipidaemias', 'mental and behavioural disorders due to use of tobacco', 'essential (primary) hypertension', 'diseases of liver', 'cholelithiasis']","[3, 0, 0, 0, 29, 14]",7.666666666666667
814,382,Glycine betaine,"['G93', 'I46']","['disorders of brain', 'cardiac arrest']","[234, 3]",118.5
815,438,Telaprevir,"['K85', 'K86', 'C23', 'K80', 'K81', 'K82']","['acute pancreatitis', 'diseases of pancreas', 'malignant neoplasm of gallbladder', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']","[6, 7, 0, 0, 0, 0]",2.1666666666666665
816,296,Tolazoline,"['I12', 'N18', 'N25']","['hypertensive renal disease', 'chronic renal failure', 'disorders resulting from impaired renal tubular function']","[0, 0, 0]",0.0
817,438,Zuclopenthixol,"['K85', 'K86', 'C23', 'K80', 'K81', 'K82']","['acute pancreatitis', 'diseases of pancreas', 'malignant neoplasm of gallbladder', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']","[0, 0, 0, 0, 0]",0.0
818,32,Homosalate,"['N11', 'N30', 'N35', 'N39', 'N76']","['chronic tubulo-interstitial nephritis', 'cystitis', 'urethral stricture', 'disorders of urinary system', 'inflammation of vagina and vulva']","[0, 0, 0, 0, 0]",0.0
819,78,Nalmefene,"['F32', 'F42', 'I95']","['depressive episode', 'obsessive-compulsive disorder', 'hypotension']","[0, 4, 9]",4.333333333333333
820,242,Insulin Detemir,"['N97', 'D13', 'K80', 'K81', 'K82']","['female infertility', 'benign neoplasm of ill-defined parts of digestive system', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']","[0, 0, 0, 0, 0]",0.0
821,60,Isavuconazole,"['M41', 'M51', 'M54']","['scoliosis', 'intervertebral disk disorders', 'dorsalgia']","[0, 0, 2]",0.6666666666666666
822,156,Efonidipine,"['E21', 'N18', 'N19', 'I15', 'N17']","['hyperparathyroidism and disorders of parathyroid gland', 'chronic renal failure', 'renal failure', 'secondary hypertension', 'acute renal failure']","[0, 4, 11, 2, 2]",3.8
823,434,Galantamine,"['A49', 'I25', 'I31', 'I48', 'I50', 'I62', 'I72', 'J42', 'J81', 'M10']","['bacterial infection of site', 'chronic ischaemic heart disease', 'diseases of pericardium', 'atrial fibrillation and flutter', 'heart failure', 'nontraumatic intracranial haemorrhage', 'aneurysm', 'chronic bronchitis', 'pulmonary oedema', 'gout']","[0, 1, 0, 3, 9, 0, 4, 0, 0, 0]",1.7
824,358,Vitamin D,"['L25', 'D53', 'N39', 'N76']","['contact dermatitis', 'nutritional anaemias', 'disorders of urinary system', 'inflammation of vagina and vulva']","[111, 587, 321, 49]",267.0
825,203,Cinolazepam,"['I20', 'I21', 'I25', 'I42', 'I50', 'I44', 'I51']","['angina pectoris', 'acute myocardial infarction', 'chronic ischaemic heart disease', 'cardiomyopathy', 'heart failure', 'atrioventricular and left bundle-branch block', 'complications and ill-defined descriptions of heart disease']","[0, 0, 0, 0, 0, 2]",0.3333333333333333
826,284,Chlorphenamine,"['G93', 'G40', 'G41']","['disorders of brain', 'epilepsy', 'status epilepticus']","[11, 0]",5.5
827,428,Heroin,"['F03', 'F13', 'F20', 'F22', 'G31']","['dementia', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'schizophrenia', 'persistent delusional disorders', 'degenerative diseases of nervous system']","[52, 639, 134, 0, 2]",165.4
828,120,Pentoxyverine,"['F31', 'F10', 'K70']","['bipolar affective disorder', 'mental and behavioural disorders due to use of alcohol', 'alcoholic liver disease']","[0, 0, 0]",0.0
829,193,Nevirapine,"['M51', 'M43', 'M48', 'G54', 'G57', 'M40', 'M54', 'M96']","['intervertebral disk disorders', 'deforming dorsopathies', 'spondylopathies', 'nerve root and plexus disorders', 'mononeuropathies of lower limb', 'kyphosis and lordosis', 'dorsalgia', 'postprocedural musculoskeletal disorders']","[0, 0, 2, 0, 0, 0, 1, 0]",0.375
830,179,Lutetium Lu 177 dotatate,"['E13', 'E11', 'G63', 'L03', 'M86', 'N08']","['specified diabetes mellitus', 'non-insulin-dependent diabetes mellitus', 'polyneuropathy in diseases classified elsewhere', 'cellulitis', 'osteomyelitis', 'glomerular disorders in diseases classified elsewhere']","[0, 0, 0, 0, 0, 0]",0.0
831,383_412,Atenolol,"['G95', 'M48']","['diseases of spinal cord', 'spondylopathies']","[6, 3]",4.5
832,201,Sapropterin,"['M35', 'I10', 'I11', 'I15', 'I27', 'I35', 'I44', 'I51', 'I74', 'I77', 'J15', 'L30', 'M13']","['systemic involvement of connective tissue', 'essential (primary) hypertension', 'hypertensive heart disease', 'secondary hypertension', 'pulmonary heart diseases', 'nonrheumatic aortic valve disorders', 'atrioventricular and left bundle-branch block', 'complications and ill-defined descriptions of heart disease', 'arterial embolism and thrombosis', 'disorders of arteries and arterioles', 'bacterial pneumonia', 'dermatitis', 'arthritis']","[0, 4, 45, 4, 12, 0, 1, 167, 5, 132, 1, 0, 6]",29.0
833,95,Darifenacin,"['B37', 'K59']","['candidiasis', 'functional intestinal disorders']","[0, 6]",3.0
834,423,Dapsone,"['H34', 'D31', 'H04', 'H11', 'H16', 'H25', 'H27', 'H44']","['retinal vascular occlusions', 'benign neoplasm of eye and adnexa', 'disorders of lachrymal system', 'disorders of conjunctiva', 'keratitis', 'senile cataract', 'disorders of lens', 'disorders of globe']","[2, 12, 0, 141, 27, 0, 2, 299]",60.375
835,230,Cevimeline,"['M71', 'M93', 'M94']","['bursopathies', 'osteochondropathies', 'disorders of cartilage']","[0, 0, 0]",0.0
836,334,Histamine,"['N39', 'D72', 'N32', 'N35']","['disorders of urinary system', 'disorders of white blood cells', 'disorders of bladder', 'urethral stricture']","[47, 78, 0]",41.666666666666664
