	Dis A	Dis B
1402	I67	I70
1403	I67	I71
1404	I67	L97
1405	I70	I71
1406	I70	L97
1407	I70	I77
1408	I70	H57
1409	I70	I73
1410	I70	I74
1411	I71	L97
1412	I71	I35
1413	I71	I72
1414	L97	L98
1415	L97	M86
1416	N20	N21
1417	C22	K31
1418	C22	K72
1419	C22	B99
1420	C22	C24
1421	C22	K83
1422	C22	C25
1423	C22	K82
1424	I84	K62
1425	I84	D12
1426	I84	K64
1427	I84	D21
1428	K62	D12
1429	K62	K64
1430	K62	D21
1431	D12	K64
1432	D12	D21
1433	D12	D13
1434	D53	F34
1435	D53	F05
1436	D53	G31
1437	D53	H10
1438	D53	K72
1439	D53	L21
1440	D53	L71
1441	D53	E51
1442	F34	F05
1443	F34	G31
1444	F34	H10
1445	F34	K72
1446	F34	L21
1447	F34	H16
1448	F34	H81
1449	F34	K30
1450	F34	M40
1451	F34	G57
1452	F34	I06
1453	F05	G31
1454	F05	H10
1455	F05	K72
1456	F05	L21
1457	F05	D52
1458	F05	D62
1459	F05	L71
1460	G31	H10
1461	G31	K72
1462	G31	L21
1463	G31	L71
1464	G31	E51
1465	H10	K72
1466	H10	L21
1467	H10	J41
1468	H10	J44
1469	H10	J47
1470	H10	G61
1471	H10	J82
1472	H10	B02
1473	H10	B25
1474	H10	I13
1475	H10	N05
1476	H10	H16
1477	H10	H81
1478	H10	K30
1479	H10	M40
1480	H10	G57
1481	H10	I06
1482	H10	N30
1483	H10	D29
1484	H10	N02
1485	H10	N40
1486	H10	N41
1487	H10	N42
1488	K72	L21
1489	K72	K31
1490	K72	B99
1491	L21	L82
1492	L21	M79
1493	E04	E05
1494	H36	H33
1495	H36	H35
1496	H36	H34
1497	H36	H26
1498	H36	E13
1499	E13	H40
1500	E13	G63
1501	E13	H25
1502	E13	H26
1503	E13	M86
1504	E13	I79
1505	E13	M45
1506	E13	D35
1507	E13	I12
1508	E13	I72
1509	E13	I77
1510	E13	K20
1511	E13	L98
1512	E13	N05
1513	E13	I13
1514	E13	H33
1515	E13	H35
1516	H40	G63
1517	H40	H25
1518	H40	H26
1519	H40	M86
1520	H40	I79
1521	H40	H47
1522	G63	H25
1523	G63	H26
1524	G63	M86
1525	G63	I79
1526	H25	H26
1527	H25	M86
1528	H25	I79
1529	H25	H27
1530	H25	H34
1531	H25	H44
1532	H25	H11
1533	H25	H18
1534	H25	H21
1535	H25	D31
1536	H26	M86
1537	H26	I79
1538	H26	H33
1539	H26	H35
1540	H26	H34
1541	H26	H27
1542	M86	I79
1543	M86	L98
1544	K31	B99
1545	G35	G45
1546	G35	H81
1547	G35	M47
1548	G35	G20
1549	G35	F48
1550	G45	H81
1551	G45	M47
1552	G45	J15
1553	G45	G51
1554	G45	I72
1555	G45	I77
1556	G45	K75
1557	H81	M47
1558	H81	G51
1559	H81	I72
1560	H81	I77
1561	H81	K75
1562	H81	H16
1563	H81	K30
1564	H81	M40
1565	H81	G57
1566	H81	I06
1567	M47	M41
1568	M47	M48
1569	M47	M62
1570	M47	G54
1571	G54	M62
1572	G54	M48
1573	G54	M71
1574	G54	M76
1575	G54	M96
1576	G54	M16
1577	G54	M87
1578	G54	M41
1579	M62	M16
1580	M62	M87
1581	M62	M41
1582	M62	M48
1583	H33	H35
1584	H33	H34
1585	H35	H34
1586	H34	H27
1587	H34	H44
1588	H34	D31
1589	I20	I21
1590	I20	I25
1591	I20	B00
1592	I20	I31
1593	I21	I25
1594	I21	B00
1595	I21	I31
